Type,Grain Label,Reference,Meteorite,Technique,Size (microns),Notes,7Li/6Li,Error[7Li/6Li],11B/10B,Error[11B/10B],12C/13C,Error[12C/13C],14N/15N,Error[14N/15N],d(29Si/28Si),Error[d(29Si/28Si)],d(30Si/28Si),Error[d(29Si/28Si)],26Al/27Al,Error[26Al/27Al],d(33S/32S),Error[d(33S/32S)],d(34S/32S),Error[d(34S/32S)],d(42Ca/40Ca),Error[d(42Ca/40Ca)],d(43Ca/40Ca),Error[d(43Ca/40Ca)],d(44Ca/40Ca),Error[d(44Ca/40Ca)],44Ti/48Ti,Error[44Ti/48Ti),d(46Ti/48Ti),Error[d(46Ti/48Ti)],d(47Ti/48Ti),Error[d(47Ti/48Ti)],d(49Ti/48Ti),Error[d(49Ti/48Ti)],d(50Ti/48Ti),Error[d(50Ti/48Ti)],51V/48Ti,Error[51V/48Ti],d(54Fe/56Fe),Error[d(54Fe/56Fe)],d(57Fe/56Fe),Error[d(57Fe/56Fe)],d(58Fe/56Fe),Error[d(58Fe/56Fe)],d(60Ni/58Ni),Error[d(60Ni/58Ni)],d(61Ni/58Ni),Error[d(61Ni/58Ni)],d(62Ni/58Ni),Error[d(62Ni/58Ni)],d(84Sr/86Sr),Error[d(84Sr/86Sr)],d(87Sr/86Sr),Error[d(87Sr/86Sr)],d(88Sr/86Sr),Error[d(88Sr/86Sr)],d(90Zr/94Zr),Error[d(90Zr/94Zr)],d(91Zr/94Zr),Error[d(91Zr/94Zr)],d(92Zr/94Zr),Error[d(92Zr/94Zr)],d(96Zr/94Zr),Error[d(96Zr/94Zr)],d(92Mo/96Mo),Error[d(92Mo/96Mo)],d(94Mo/96Mo),Error[d(94Mo/96Mo)],d(95Mo/96Mo),Error[d(95Mo/96Mo)],d(97Mo/96Mo),Error[d(97Mo/96Mo)],d(98Mo/96Mo),Error[d(98Mo/96Mo)],d(100Mo/96Mo),Error[d(100Mo/96Mo)],d(96Ru/100Ru),Error[d(96Ru/100Ru)],d(98Ru/100Ru),Error[d(98Ru/100Ru)],d(99Ru/100Ru),Error[d(99Ru/100Ru)],d(101Ru/100Ru),Error[d(101Ru/100Ru)],d(102Ru/100Ru),Error[d(102Ru/100Ru)],d(104Ru/100Ru),Error[d(104Ru/100Ru)],d(134Ba/136Ba),Error[d(134Ba/136Ba)],d(135Ba/136Ba),Error[d(135Ba/136Ba)],d(137Ba/136Ba),Error[d(137Ba/136Ba)],d(138Ba/136Ba),Error[d(138Ba/136Ba)],
M,M33b-37-4,Nittler GCA 2003,Murchison,CIW 6f ,1.10,,,,,,24.87,0.44,,,17.0,11.0,53.8,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-37-5,Nittler GCA 2003,Murchison,CIW 6f ,1.03,,,,,,39.61,2.06,,,-20.7,17.3,9.5,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-39-1,Nittler GCA 2003,Murchison,CIW 6f ,1.37,,,,,,49.38,4.02,,,9.2,7.7,29.4,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-4-1,Nittler GCA 2003,Murchison,CIW 6f ,1.40,,,,,,34.63,0.62,,,52.9,6.7,49.2,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,M33b-4-2,Nittler GCA 2003,Murchison,CIW 6f,0.8,,,,,,111.90,4.85,,,119.0,17.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-44-1,Nittler GCA 2003,Murchison,CIW 6f ,1.75,,,,,,38.74,0.95,,,8.4,17.2,14.6,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-44-2,Nittler GCA 2003,Murchison,CIW 6f ,1.59,,,,,,42.32,1.20,,,29.1,7.1,37.8,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-5-1,Nittler GCA 2003,Murchison,CIW 6f ,0.56,,,,,,48.55,2.68,,,22.8,16.6,64.1,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-5-2,Nittler GCA 2003,Murchison,CIW 6f ,0.50,,,,,,10.44,0.50,,,30.4,20.6,23.4,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-53-1,Nittler GCA 2003,Murchison,CIW 6f ,1.06,,,,,,34.97,0.92,,,49.2,8.9,49.3,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-53-2,Nittler GCA 2003,Murchison,CIW 6f ,0.72,,,,,,49.18,1.20,,,86.9,22.7,105.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z,M33b-54-1,Nittler GCA 2003,Murchison,CIW 6f,1.3,,,,,,49.09,0.78,,,-42.0,7.0,64.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-54-2,Nittler GCA 2003,Murchison,CIW 6f ,0.84,,,,,,37.24,0.75,,,7.8,42.5,75.0,79.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-56-1,Nittler GCA 2003,Murchison,CIW 6f ,1.20,,,,,,41.09,0.90,,,27.9,9.0,48.5,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-56-2,Nittler GCA 2003,Murchison,CIW 6f ,0.96,,,,,,58.60,2.54,,,-0.7,21.9,51.7,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-57-1,Nittler GCA 2003,Murchison,CIW 6f ,0.91,,,,,,44.34,5.96,,,-12.8,16.3,43.1,89.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-58-1,Nittler GCA 2003,Murchison,CIW 6f ,2.25,,,,,,35.27,1.14,,,24.0,5.3,30.3,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-58-2,Nittler GCA 2003,Murchison,CIW 6f ,1.97,,,,,,39.58,0.89,,,27.8,8.3,32.5,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-58-4,Nittler GCA 2003,Murchison,CIW 6f ,1.37,,,,,,42.57,1.95,,,-15.7,19.8,-33.7,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-59-1,Nittler GCA 2003,Murchison,CIW 6f ,1.31,,,,,,24.18,0.55,,,19.1,9.3,21.1,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-60-1,Nittler GCA 2003,Murchison,CIW 6f ,1.58,,,,,,58.84,0.87,,,10.7,6.2,18.9,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-62-4,Nittler GCA 2003,Murchison,CIW 6f ,1.22,,,,,,51.58,1.85,,,50.0,11.3,23.1,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-66-1,Nittler GCA 2003,Murchison,CIW 6f ,2.42,,,,,,48.20,0.78,,,38.1,4.9,43.3,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-66-2,Nittler GCA 2003,Murchison,CIW 6f ,1.03,,,,,,56.21,1.61,,,55.3,8.3,47.5,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-66-4,Nittler GCA 2003,Murchison,CIW 6f ,1.44,,,,,,46.34,2.06,,,41.9,21.1,104.1,97.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-66-5,Nittler GCA 2003,Murchison,CIW 6f ,0.92,,,,,,43.56,1.95,,,11.8,8.8,17.5,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-66-6,Nittler GCA 2003,Murchison,CIW 6f ,1.78,,,,,,37.39,0.56,,,38.6,9.9,45.6,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-66-8,Nittler GCA 2003,Murchison,CIW 6f ,1.43,,,,,,57.02,1.97,,,42.7,6.3,50.6,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-67-1,Nittler GCA 2003,Murchison,CIW 6f ,1.58,,,,,,59.80,0.91,,,19.1,6.4,27.9,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-67-2,Nittler GCA 2003,Murchison,CIW 6f ,1.22,,,,,,44.59,2.32,,,31.0,9.0,37.3,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-68-1,Nittler GCA 2003,Murchison,CIW 6f ,1.62,,,,,,51.75,0.74,,,79.1,6.0,64.9,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-68-2,Nittler GCA 2003,Murchison,CIW 6f ,1.92,,,,,,41.86,1.05,,,2.9,5.0,6.0,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-68-3,Nittler GCA 2003,Murchison,CIW 6f ,1.65,,,,,,49.99,0.95,,,43.7,14.9,36.4,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-68-4,Nittler GCA 2003,Murchison,CIW 6f ,1.54,,,,,,55.29,1.91,,,46.2,6.1,42.2,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-68-7,Nittler GCA 2003,Murchison,CIW 6f ,0.99,,,,,,34.85,1.95,,,39.7,10.0,44.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-69-1,Nittler GCA 2003,Murchison,CIW 6f ,1.77,,,,,,54.60,0.84,,,32.7,5.3,46.8,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-69-2,Nittler GCA 2003,Murchison,CIW 6f ,0.74,,,,,,26.38,0.83,,,15.4,12.3,2.7,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-70-1,Nittler GCA 2003,Murchison,CIW 6f ,1.74,,,,,,38.22,2.08,,,42.2,5.7,43.8,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-70-2,Nittler GCA 2003,Murchison,CIW 6f ,1.33,,,,,,61.67,8.55,,,-2.5,6.9,9.5,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-70-3,Nittler GCA 2003,Murchison,CIW 6f ,0.88,,,,,,54.16,1.29,,,47.8,11.3,41.4,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-70-4,Nittler GCA 2003,Murchison,CIW 6f ,0.97,,,,,,23.04,1.96,,,-9.2,9.9,12.2,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-70-5,Nittler GCA 2003,Murchison,CIW 6f ,0.85,,,,,,53.28,1.33,,,30.4,16.2,-9.9,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-70-8,Nittler GCA 2003,Murchison,CIW 6f ,1.79,,,,,,24.40,0.79,,,15.7,5.6,18.5,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-71-1,Nittler GCA 2003,Murchison,CIW 6f ,1.08,,,,,,54.07,1.06,,,87.7,8.7,74.9,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-71-2,Nittler GCA 2003,Murchison,CIW 6f ,0.96,,,,,,47.83,6.57,,,36.0,21.2,105.3,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-71-3,Nittler GCA 2003,Murchison,CIW 6f ,0.99,,,,,,50.24,7.89,,,31.8,32.5,88.6,93.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-71-4,Nittler GCA 2003,Murchison,CIW 6f ,1.24,,,,,,51.95,8.41,,,34.3,7.8,66.9,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-71-6,Nittler GCA 2003,Murchison,CIW 6f ,2.07,,,,,,54.35,1.51,,,26.1,12.2,29.4,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-71-7,Nittler GCA 2003,Murchison,CIW 6f ,0.96,,,,,,44.42,0.76,,,25.7,9.9,0.2,95.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-71-8,Nittler GCA 2003,Murchison,CIW 6f ,1.35,,,,,,58.56,5.60,,,63.9,20.7,117.4,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-72-1,Nittler GCA 2003,Murchison,CIW 6f ,1.53,,,,,,60.70,1.06,,,28.1,6.5,47.8,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-72-2,Nittler GCA 2003,Murchison,CIW 6f ,0.94,,,,,,46.77,1.03,,,30.2,14.2,76.1,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-75-1,Nittler GCA 2003,Murchison,CIW 6f ,1.03,,,,,,10.04,0.54,,,37.3,12.0,16.1,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-75-2,Nittler GCA 2003,Murchison,CIW 6f ,1.07,,,,,,63.81,1.95,,,24.4,11.6,18.2,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-75-3,Nittler GCA 2003,Murchison,CIW 6f ,1.12,,,,,,57.99,2.02,,,37.0,7.9,32.4,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-75-4,Nittler GCA 2003,Murchison,CIW 6f ,1.66,,,,,,40.18,1.35,,,101.1,6.0,84.7,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,M33b-75-5,Nittler GCA 2003,Murchison,CIW 6f,1,,,,,,114.91,23.08,,,14.0,9.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-75-8,Nittler GCA 2003,Murchison,CIW 6f ,1.03,,,,,,50.66,8.90,,,-8.1,9.1,50.5,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-77-5,Nittler GCA 2003,Murchison,CIW 6f ,1.29,,,,,,50.32,0.87,,,47.2,9.6,53.7,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-80-1,Nittler GCA 2003,Murchison,CIW 6f ,2.41,,,,,,47.74,0.99,,,80.9,5.0,69.5,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-83-1,Nittler GCA 2003,Murchison,CIW 6f ,1.11,,,,,,35.99,0.77,,,19.2,9.3,25.9,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-83-2,Nittler GCA 2003,Murchison,CIW 6f ,0.73,,,,,,21.91,1.79,,,3.2,16.3,60.5,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-86-1,Nittler GCA 2003,Murchison,CIW 6f ,1.91,,,,,,43.34,0.51,,,59.5,5.6,54.8,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-87-1,Nittler GCA 2003,Murchison,CIW 6f ,1.79,,,,,,55.97,0.77,,,76.8,6.6,55.2,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-87-3,Nittler GCA 2003,Murchison,CIW 6f ,1.19,,,,,,48.64,0.74,,,5.2,8.8,-6.6,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-87-4,Nittler GCA 2003,Murchison,CIW 6f ,1.46,,,,,,42.53,2.47,,,-12.6,7.0,50.0,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-87-6,Nittler GCA 2003,Murchison,CIW 6f ,1.29,,,,,,34.94,0.79,,,42.8,13.2,25.7,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-87-7,Nittler GCA 2003,Murchison,CIW 6f ,0.84,,,,,,42.30,0.82,,,119.1,14.2,107.9,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,M33b-88-1,Nittler GCA 2003,Murchison,CIW 6f,1.2,,,,,,7.87,0.46,,,1.0,8.0,28.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-89-1,Nittler GCA 2003,Murchison,CIW 6f ,1.05,,,,,,18.48,0.71,,,-12.8,10.2,23.0,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-89-3,Nittler GCA 2003,Murchison,CIW 6f ,1.22,,,,,,47.82,0.78,,,98.3,7.3,66.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-89-4,Nittler GCA 2003,Murchison,CIW 6f ,0.95,,,,,,59.24,1.63,,,38.8,9.5,16.1,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-89-7,Nittler GCA 2003,Murchison,CIW 6f ,1.22,,,,,,46.26,1.94,,,40.1,7.8,54.6,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-89-8,Nittler GCA 2003,Murchison,CIW 6f ,1.27,,,,,,14.64,0.42,,,59.1,15.8,112.5,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-90-1,Nittler GCA 2003,Murchison,CIW 6f ,0.97,,,,,,44.88,1.20,,,121.4,9.6,84.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,M33b-90-2,Nittler GCA 2003,Murchison,CIW 6f,1.1,,,,,,111.31,7.88,,,35.0,15.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-91-1,Nittler GCA 2003,Murchison,CIW 6f ,2.65,,,,,,43.94,1.35,,,25.7,4.6,42.3,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-91-2,Nittler GCA 2003,Murchison,CIW 6f ,1.13,,,,,,43.48,2.45,,,24.6,8.1,44.7,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-91-3,Nittler GCA 2003,Murchison,CIW 6f ,1.16,,,,,,65.39,2.76,,,1.1,7.2,27.0,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-91-4,Nittler GCA 2003,Murchison,CIW 6f ,1.37,,,,,,43.98,2.97,,,19.0,18.6,37.4,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-91-5,Nittler GCA 2003,Murchison,CIW 6f ,1.53,,,,,,40.49,0.88,,,1.0,9.1,33.2,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-91-6,Nittler GCA 2003,Murchison,CIW 6f ,1.18,,,,,,53.74,2.05,,,36.6,8.5,53.1,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,M33b-91-7,Nittler GCA 2003,Murchison,CIW 6f ,1.60,,,,,,44.53,4.09,,,40.6,8.5,40.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
